latitude,longitude,name,location,start_date,status,category,police_violence_status,number_of_arrests,image_url,City,Country
51.4479026,5.4861352,Eindhoven University of Technology,<NA>,<NA>,<NA>,Encampment,<NA>,<NA>,/images/Eindhoven University of Technology.jpg,Eindhoven,Nederland
51.8234117,5.8613563,Radboud University,<NA>,<NA>,<NA>,Encampment,<NA>,<NA>,/images/Radboud University.jpg,Nijmegen,Nederland
53.2192808,6.5630865,The University of Groningen,<NA>,<NA>,<NA>,Encampment,<NA>,<NA>,/images/The University of Groningen.jpg,Groningen,Nederland
-36.852337,174.769104,University of Auckland,<NA>,05/01/2024,Encampment,Encampment,<NA>,<NA>,/images/University of Auckland.jpg,Auckland,New Zealand / Aotearoa
-37.5707152,175.147796,Te Wﾄ］anga o Aotearoa,<NA>,05/01/2024,Ongoing,Encampment,<NA>,<NA>,/images/Te Wanga o Aotearoa.jpg,,New Zealand / Aotearoa
59.9405,10.7215,University of Oslo,<NA>,05/02/2024,Encampment,Encampment,<NA>,<NA>,/images/University of Oslo.jpg,Oslo,Norge
18.4044093,-66.0485038,University of Puerto Rico Rﾃｭo Piedras,Rﾃｭo,05/05/2024,<NA>,Encampment,<NA>,<NA>,/images/University of Puerto Rico Ro Piedras.jpg,San Juan,United States
-33.9582874,18.4599736,University of Cape Town,<NA>,<NA>,Encampment,Encampment,<NA>,<NA>,/images/University of Cape Town.jpg,Cape Town,South Africa
39.4789,0.3589,University of Valencia,<NA>,04/29/2024,Ongoing,Encampment,<NA>,<NA>,/images/University of Valencia.jpg,,
46.519962,6.633597,Lausanne University,<NA>,05/07/2024,<NA>,Solidarity,<NA>,<NA>,/images/Lausanne University.jpg,Lausanne,Schweiz/Suisse/Svizzera/Svizra
36.8112,10.06183,IPSI - Institut de Presse et des,<NA>,4/30/2024,Ongoing,Encampment,<NA>,<NA>,/images/IPSI  Institut de Presse et des.jpg,,تونس
41.103625,29.0264583,ﾄｰstanbul Teknik ﾃ從iversitesi,<NA>,04/26/2024,Encampment,Encampment,<NA>,<NA>,/images/stanbul Teknik iversitesi.jpg,,Türkiye
38.025,32.5075,Selﾃｧuk University,<NA>,4/30/2024,Encampment,Encampment,<NA>,<NA>,/images/Seluk University.jpg,,Türkiye
41.0126,28.9618,Istanbul University,<NA>,04/25/2024,<NA>,Solidarity,<NA>,<NA>,https://drive.google.com/thumbnail?id=https:&sz=w320,İstanbul,Türkiye
39.8898,32.7801,Middle East Techcnical University,<NA>,04/26/2024,<NA>,Solidarity,<NA>,<NA>,https://drive.google.com/thumbnail?id=https:&sz=w320,,Türkiye
39.9349,32.8339,Ankara University,<NA>,04/24/2024,<NA>,Solidarity,<NA>,<NA>,https://drive.google.com/thumbnail?id=https:&sz=w320,,Türkiye
51.4569,-2.6084,University of Bristol ,"Bristol,",05/01/2024,Encampment,Encampment,<NA>,<NA>,/images/University of Bristol.jpg,Bristol,United Kingdom
52.379253,-1.56147,University of Warwick,"Coventry,",04/26/2024,Encampment,Encampment,<NA>,<NA>,/images/University of Warwick.jpg,,United Kingdom
54.978,-1.615,Newcastle University ,New,<NA>,<NA>,Encampment,<NA>,<NA>,/images/Newcastle University.jpg,Newcastle upon Tyne,United Kingdom
51.754845,-1.254449,University of Oxford,"Oxford,",05/05/2024,Encampment,Encampment,<NA>,<NA>,/images/University of Oxford.jpg,Oxford,United Kingdom
53.4055329,-2.9612996,University of Liverpool,"Liverpool,",05/06/2024,<NA>,Encampment,<NA>,<NA>,/images/University of Liverpool.jpg,Liverpool,United Kingdom
53.380639,-1.487614,University of Sheffield ,"Sheffielld,",<NA>,<NA>,Encampment,<NA>,<NA>,/images/University of Sheffield.jpg,Sheffield,United Kingdom
53.80433012,-1.550997796,University of Leeds,"Leeds,",05/01/2024,Encampment,Encampment,<NA>,<NA>,/images/University of Leeds.jpg,Leeds,United Kingdom
53.46780014,-2.231389999,The University of Manchester,<NA>,05/01/2024,Ongoing,Encampment,<NA>,<NA>,/images/The University of Manchester.jpg,Manchester,United Kingdom
